取 取
守 守
手 手
朱 朱
殊 殊
狩 狩
珠 珠
種 種
腫 腫
趣 趣
酒 酒
首 首
儒 儒
受 受
呪 咒
寿 壽
授 授
樹 樹
綬 綬
需 需
囚 囚
収 收
周 周
宗 宗
就 就
州 州
修 修
愁 愁
拾 拾
洲 洲
秀 秀
秋 秋
終 終
繍 繡
習 習
臭 臭
舟 舟
蒐 蒐
衆 眾
襲 襲
讐 讎
蹴 蹴
輯 輯
週 週
酋 酋
酬 酬
集 集
醜 醜
什 什
住 住
充 充
十 十
従 從
戎 戎
柔 柔
汁 汁
渋 涉
獣 獸
縦 縱
重 重
銃 銃
叔 叔
夙 夙
宿 宿
淑 淑
祝 祝
縮 縮
粛 肅
塾 塾
熟 熟
出 出
術 術
述 述
俊 俊
峻 峻
春 春
瞬 瞬
竣 竣
舜 舜
駿 駿
准 准
循 循
旬 旬
楯 楯
殉 殉
淳 淳
準 準
潤 潤
盾 盾
純 純
巡 巡
遵 遵
醇 醇
順 順
処 處
初 初
所 所
暑 暑
曙 曙
渚 渚
庶 庶
緒 緒
署 署
書 書
薯 薯
藷 藷
諸 諸
助 助
叙 敘
女 女
序 序
徐 徐
恕 恕
鋤 鋤
除 除
傷 傷
償 償
勝 勝
匠 匠
升 升
召 召
哨 哨
商 商
唱 唱
嘗 嘗
奨 獎
妾 妾
娼 娼
宵 宵
将 將
小 小
少 少
尚 尚
庄 莊
床 床
廠 廠
彰 彰
承 承
抄 抄
招 招
掌 掌
捷 捷
昇 昇
昌 昌
昭 昭
晶 晶
松 松
梢 梢
樟 樟
樵 樵
沼 沼
消 消
渉 涉
湘 湘
焼 燒
焦 焦
照 照
症 症
省 省
硝 硝
礁 礁
祥 祥
称 稱
章 章
笑 笑
粧 粧
紹 紹
肖 肖
菖 菖
蒋 蔣
蕉 蕉
衝 衝
裳 裳
訟 訟
証 証
詔 詔
詳 詳
象 象
賞 賞
醤 醬
鉦 鉦
鍾 鍾
鐘 鐘
障 障
鞘 鞘
上 上
丈 丈
丞 丞
乗 乘
冗 冗
剰 剩
城 城
場 場
壌 壤
嬢 孃
常 常
情 情
擾 擾
条 條
杖 杖
浄 淨
状 狀
畳 疊
穣 穰
蒸 蒸
譲 讓
醸 釀
錠 錠
嘱 囑
埴 埴
飾 飾
拭 拭
植 植
殖 殖
燭 燭
織 織
職 職
色 色
触 觸
食 食
蝕 蝕
辱 辱
尻 尻
伸 伸
信 信
侵 侵
唇 唇
娠 娠
寝 寢
審 審
心 心
慎 慎
振 振
新 新
晋 晉
森 森
榛 榛
浸 浸
深 深
申 申
疹 疹
真 真
神 神
秦 秦
紳 紳
臣 臣
芯 芯
薪 薪
親 親
診 診
身 身
辛 辛
進 進
針 針
震 震
人 人
仁 仁
刃 刃
塵 塵
壬 壬
尋 尋
甚 甚
尽 盡
腎 腎
訊 訊
迅 迅
陣 陣
靭 靭
笥 笥
諏 諏
須 須
酢 酢
図 圖
